number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta_ratio,params_epsilon_decay_steps,params_epsilon_end,params_epsilon_start,params_gamma,params_lambda,params_mu,params_trace_length,state
63,1055.5866752454501,2026-05-24 16:13:39.368120,2026-05-24 16:13:50.626252,0 days 00:00:11.258132,0.07318912073210095,11.48604359632257,12484,0.05669278197296215,0.9479014751345097,0.8817990845161323,0.6277828348636866,1.5424812767822487,559,COMPLETE
64,1099.0784977022497,2026-05-24 16:13:41.852068,2026-05-24 16:13:56.044718,0 days 00:00:14.192650,0.050534301612212805,26.432541790003917,9897,0.05983206101305728,0.9998110418515676,0.930676451976892,0.5152952864691637,1.7304552406557816,485,COMPLETE
65,1066.9781008084926,2026-05-24 16:13:43.598171,2026-05-24 16:14:01.315748,0 days 00:00:17.717577,0.07316112613088471,20.954638852883242,17947,0.038826937574951995,0.946486828005146,0.9295367486795255,0.6208821607215771,0.8512274577096919,560,COMPLETE
66,1094.0285876439164,2026-05-24 16:13:47.099559,2026-05-24 16:13:58.507021,0 days 00:00:11.407462,0.11363004957181896,11.17584668320537,17675,0.039422951693919156,0.9741249902532493,0.8966253667756662,0.6079496687342218,0.8088101461749784,571,COMPLETE
67,1094.3497775506396,2026-05-24 16:13:50.627792,2026-05-24 16:14:06.684263,0 days 00:00:16.056471,0.02019433564386169,27.909917370896693,18081,0.03423115120926852,0.9727584085859721,0.8981533178950158,0.5971707867286296,0.7847076453547008,484,COMPLETE
68,1088.1864685712055,2026-05-24 16:13:56.729120,2026-05-24 16:14:11.954234,0 days 00:00:15.225114,0.05058716475095101,20.739268819007204,17821,0.013666553865741919,0.9701535931601288,0.9468099249162976,0.7844055844511623,0.9150442335794735,606,COMPLETE
69,1096.7288311702623,2026-05-24 16:13:59.212932,2026-05-24 16:14:11.225296,0 days 00:00:12.012364,0.07456774227941237,14.112812788495201,18009,0.03368101721380323,0.974828631424714,0.9463809090339629,0.7775675463291364,0.8981767446799709,493,COMPLETE
70,947.501089602751,2026-05-24 16:14:01.317685,2026-05-24 16:14:15.402488,0 days 00:00:14.084803,0.05073706633805054,27.955526624997457,19270,0.02169417339847449,0.8580944450168863,0.9464352142396051,0.7488861215301068,0.3482495967690582,603,COMPLETE
71,1115.7493556502852,2026-05-24 16:14:07.754684,2026-05-24 16:14:25.268475,0 days 00:00:17.513791,0.04151921798553441,25.486223950508933,19364,0.013557289290897126,0.9911379242245418,0.9084986039982945,0.7536658181929121,0.9282129171413915,534,COMPLETE
72,1117.5660566771917,2026-05-24 16:14:11.954932,2026-05-24 16:14:27.728194,0 days 00:00:15.773262,0.04085072293676132,18.96314645829299,19317,0.021329650873214454,0.9946490868758819,0.9080176057836321,0.7552727928940111,1.5648532466533083,399,COMPLETE
73,1116.7542483983198,2026-05-24 16:14:12.636163,2026-05-24 16:14:23.164564,0 days 00:00:10.528401,0.057785952604314274,25.74141981121104,19341,0.021745075511942095,0.992581564022343,0.9078205980421896,0.7495425553698645,0.40410948320685347,398,COMPLETE
74,1115.8795669160268,2026-05-24 16:14:15.404170,2026-05-24 16:14:29.492299,0 days 00:00:14.088129,0.04192302740837123,26.73291035646908,15817,0.059323031029581495,0.9980503136711004,0.8925785601841694,0.5141921100476446,1.753041915335419,534,COMPLETE
75,1116.2623540688915,2026-05-24 16:14:25.267044,2026-05-24 16:14:40.086032,0 days 00:00:14.818988,0.04166042493026463,25.319718668962114,19591,0.017624586806873805,0.9910830219889487,0.9105130439644927,0.5013520777714748,0.637911174023327,464,COMPLETE
76,1115.6856608586793,2026-05-24 16:14:26.347978,2026-05-24 16:14:40.090001,0 days 00:00:13.742023,0.05462900998394274,25.629536215355017,19230,0.01702552838170507,0.9917843048569157,0.9128625995929739,0.717307638531226,0.44725348822093763,320,COMPLETE
77,1115.9350663821806,2026-05-24 16:14:28.102245,2026-05-24 16:14:34.810198,0 days 00:00:06.707953,0.05691482137292021,25.451959614658712,19248,0.017988078498981375,0.9914576750063802,0.9078336960810224,0.8158328440159774,1.069813110368656,398,COMPLETE
78,1107.8867522355204,2026-05-24 16:14:29.493295,2026-05-24 16:14:43.992484,0 days 00:00:14.499189,0.031001559777497474,23.930705510694384,19243,0.052054152960345094,0.9803001552951551,0.908448613460056,0.7161866925628412,0.42401175176225114,533,COMPLETE
79,1106.528178031641,2026-05-24 16:14:36.227258,2026-05-24 16:14:50.696928,0 days 00:00:14.469670,0.042109099558865076,25.569779705756254,19345,0.010030849630452565,0.9802258102433573,0.9063940211038771,0.7178285055679386,0.5834328874822363,325,COMPLETE
80,1109.407998444883,2026-05-24 16:14:40.087716,2026-05-24 16:14:50.694758,0 days 00:00:10.607042,0.04262215689812188,23.690198601790662,19244,0.05213642188833325,0.9809646151303473,0.9068330182887399,0.7147648349925244,0.5124085648201203,381,COMPLETE
